|||||||DEATHS|OCCURRING IN-|||||
||Total.|Total.|Both parents native.|Both parents foreign born.|Native.|Un- known.|One parent un- known the other native.|Both parents un- known.|Foreign born.|ity un- known|||
REGISTRATION CITIES-Continued.||||||||||||||
GEORGIA. Atlanta|3,078|1,753|1,660|1.328|43|38|8|164|79|81|12|1,323||2
Augusta *|947|428|404 Il|338|14|11|1|16|24|15|9|518||1
Brunswick|149 'I|50 !|"46 ||"|39||2|1|4||3 I|1|99||
Savannah *|1,765 Il|612 I|520|348|38|21|9|45|59|84|8|1,153||
ILLINOIS.|260|240|190|106|27|14|10|13|20|47|3|20||
Alton Aurora|493 Il|477 Il|332 Il|166|97|40|3|6|20|185|10|16||
Belleville|317 II|814 Il|229 Il|129|69|21|6|1|3|84|1|3||
Berwyo|126 Il|126 Il|66 Il|24|81|5|1|2|3|60||||
Bloomington|430|408|325 II|196|60|13|3|20|33|75|8|22||
Blue Island|178|177|117|44|46|14|2|5|6|60||1||
Cairo|235 Il|156 Il|145 II|95|8|7|4|13|18|8|3|79||
Canton|160 II|155 Il|143 Il|112|14|3|1|7|6|12||5||
Centralia|148 il|127 Il|112 Il|76|9|5||11|11|11|4|21||
Champaign|203 II|187 II|165 Il|128|8|8|1|12|13|20|2|16||
Chicago|30,819|28,709|16,853|5,482|7,760|1,989|252|421|949|11,518|338|2.059|3|48
Chicago Heights|205 Il|199 Il|137|36|80|14|1|1|5|62||5||1
Cicero. Danville|321|321 II|185|49|104|26|1|1|4|135|1|||
Decatur|531|499 1l|430 II|288|43|17|4|35|43|63|6|32||
|601 Il|585 Il|507 Il|350|45|26|6|30|50|65|13|15||1
East St. Louis Elgin|753|613|503|291|91|28|16|36|41|99|11|140||
Evanston|532 Il|526 Il|319 Il|136|77|17|6|I 17|66|184|28|6||
Forest Park|410 Il|380 II|284 I|114|88|33|6|16|27|96||30||
Freeport|99 Il|99 Il|38 Il|20|13|4|||1|61||||
|308 Il|303 I|240 Il|120|63|31|3|14|9|60|3|5||
Galesburg Granite City|324|314|230|159|26|25||7|13|81|3|10||
Herrin|158 Il|155 Il|112 Il|64|24|6|1|12|5|40|8|3||
Jacksonville* Joliet|140 I|139 Il|119 Il|84|9|7|1|11|7|17|3|1||
|448|416 Il|352 Il|181|48|20|6|19|78|52|12|32||
Kankakee|515|497 Il|339 Il|116|147|38|6|15|18|149|9|18||
Kewanee La Salle|225|222|153|92|34|8|2|4|13|67|2|3||
Lincoln|221|219 Il|159 Il|90|43|13|2|8|3|60||2||
Mattoon|151|151 Il|85 I|29|37|14|2|1|2|65|1|||
|203 II|197 II|156 Il|92|25|14|1|5|19|35|6|6||
Maywood|201 Il|198 If|186 I|123|12|7|2|15|27|10|2|3||
Moline Murphysboro|106|100|54|30|14|7|1|1|1|45|1|6||
Oak Park|306 I|297 I|166 I|81|44|12|3|8|18|128|3|8||1
Ottawa|124 Il|111 li|91 I|59|9|7|1|8|7|20||12||1
Pakin|527 Il|525 Il|347 Il|173|107|39|5|11|12|177|1|1||I
Peoria|148|148 Il|107 1|53|28|10||7|9|41||||
Quincy Rock Island|128|128|98|65|13|4|2|5|9|30||||
Rockford|1,014|I' 980 Il|781 Il|422|136|68|14|55|86|178|21 I|34||
|511 I|485 Il|363 Il|158|69|20|15|20|81|117|5|26||
Springfield|356 Il|341 Il|239 Il|121|55|25|2|11|25|101|1|15||
Streator|694 I|"679 ||"|450 Il|225|127|39|8|19|32|223|6|15||
Urbana Waukegan|903|853|696|413|130|48|12|60|33|144|13|50||
|214|Il 211 Il|150 Il|96|35|13|2|3|1|60|1|3||
INDIANA.|79 Il|75 Il|69 li|44|3|5|2|3|12|6||4||
Anderson|226|Il 218 Il|154 Il|77|47|10|5|5|10|59|5|8||
Bloomington||||||||||||||
Clinton||||||||||||||
Crawfordsville|312|298|282|222|15|11|2|19|13|16||14||
East Chicago|144 Il|131 Il|130 Il|107|4|3|1|10|5|1||13||
|101 Il|93 II|76 Il|45|12|9|2|2|6|17||8||
Elkhart Elwood|152 Il|143 il|133 Il|113|4|3||6|7|9|1|9||
Evansville|382|II 361 Il|269 Il|58|176|22|4|7|2|90|2|21||
Fort Wayne Frankfort|307|304|267|186|18|19|6|19|19|34|3|3||
|141 Il|141 Il|129 I|106|8|||10|5|10|2|||
Gary|1,000 1|908 Il|797 il|454|108|63|18|57|97|100|11|92||
Hammond|978|Il 952 Il|787 Il|501|133|61|14|30|48|162|8|26||
Huntington|165 Il|163 Il|159 I|129|6|1||18|10|3|1|2||
Indianapolis||||||||||||||
Jeffersonville|711|585|402|150|177|43|2|16|14|182|1|126||
I N|407|II 403 I|274 Il|120|90|32|2|I 7|23|123|6|4||
|197|[ 197 II|184 Il|129|8|6|2|23|16|13||||
|4,119 Il|3,511|3,052 II|2,086|302|162|51|236|215|415 I|44|608||
|118|Il 88 II|77 II|50 I|12|2||6 I|7|9 )|2|30||

||||||WHITE.||||||||
||||||Native.||||||||
REGISTRATION AREA.|All deaths.|||||One foreign the|parent born, other-|Parentage unknown.||Foreign|Nativ-|Negro.|Japa- nese.|Other col- ored.
||Total.|Total.|Both parents native.|Both parents foreign born.|Native.|Un- known|One parent un- known, the other native.|Both parents un- known.|born.|ity un- known.|||
REGISTRATION CITIES-Continued.||||||||||||||
INDIANA-continued Kokomo|839|326|307|216|18|10|4|24|35|17|2|13||
La Porte|180|178|141|72|34|14|2|5|14|36|1|2||
Lafayette.|416|409|350|260|35|13|5|14|23|55|4|7||
Logansport|252|248|203|139|20|11|2|7|24|37|8|4||
Marion|342|314|296|195|9|8|3|44|37|14|4|28||
|253|241|147|67|57|14||6|3|93|1|12||
Michigan City Mishawaka|185 II|185 Il|151|78|26|14|1|17|15|30|4|||
Muncle|463 Il|414 II|399|299|14|14|5|23|44|12|3|I- 49||
New Albany|306 Il|275 Il|246|161|37|10|7|14|17|28|1|31||
New Castle|138 Il|134 Il|133|113|2|2||7|9|1||4||
Peru|146|141|129|89|14|3|2|9|12|12||5||
Richmond|309|288|257|163|32|12|2|24|24|28|3|21||
South Bend|723|697|527|282|119|45|3|25|53|166|4|26||
Terre Haute|897 Il|821 Il|713 II|515|67|31|4|60|36|93|15|76||
Vincennes|288 Il|286 If|263 II|195|16|10|4|18|20|19|4|2||
Whiting.|105|105|76|22|47|3|1|1|2|28|1|||
KANSAS.||||||||||||||
Arkansas City|135|121|112|70|5|4|1|12|20|6|3|9||5
Atchison|163 II|130 II|109 II|58|7|6|3|10|25|18|3|83||
Chanute.|166 If|161 II|150 II|93|12|6|3|16|20|11||5||
Coffeyville|178|150 Il|137|87|9|7|3|14|17|12|1|27||1
Dorado|92|90|87|58|4|2|3|6|14|3||2||
Emporia|143|131|110|73|.8|9|1|15|4|18|3|12||
Fort Scott|168|150|129|80|7|5|2|9|26|11|10|18||
Hutchinson|260 II|246|225|149|14|6|4|16|36|16|5|14||
Independence|134|122 If|111|68|4|5|1|14|19|10|1|12||
Kansas City|1.257|984|788|428|123|43|17|68|109|179|17|272||1
Lawrence.|181|157|135|94|10|12|8|10|6|21|1|23||1
Leavenworth Parsons|244|208 II|136|64|27|12|2|10|21|65|7|36||
|164|141|125|74|11|5||14|21|12|4|23||
Pittsburg.||||||||||||||
Salina|162|157|139|79|7|6||14|33|16|2|5||
Topeka|186|181|158|105|19|11|3|9|11|18|5|5||
Wichita|726|640 II|522|289|74|36|9|48|66|112|6|85||1
KENTUCKY|973|908 IL|823 Il|478|56|36|12|85|156|66|19|65||
Ashland||||||||||||||
Covington|251|237|229|185|4|5|3|11|21|6|2|14||
Henderson|734|664|536|316|113|37|14|16|:40|121|7|70||
Lexington|188|121|115|91|8||1|8|7|6||67||
|912|614|563|432|21|8|2|29|71|18|33|298||
Louisville Newport||||||||||-||-||
|3,314|2,514|2,093|1,295|auz|130|30|128|ZU3|380|80|au||
Owensboro|294|271|207|117|53|10|5|5|17|64||23||
Paducah|307|245|238|204|5|2|1|12|14|7||62||
|411|285|269 II|178|6|4||24|57|10|6|126||
LOUISIANA.||||||||||||||
Alexandria||||||||||||||
Baton Rouge|342|162|148|101|13|5|1|11|17|9|5|180||
Lake Charles|323 II|173 Il|158 II|117|14|7|1|11|8|12|3|150||
Monroe.|229 II|138 Il|124 II|78|5|11|3|14|13|13|1|91||
New Orleans Shreveport|260 Il|143 II|126 II|71|7|6||21|21|12|5|117||
|6.468 Il|4.005 Il|3.244 Il|1,823|747|346|29|76|223|752|9|2,451|2|10
MAINE.|1,038|473|419|283|17|7|8|37|67|37|17|565||
Auburn||||||||||||||
Augusta *|213|213|182|137|17|22||2|4|31||||
Bangor Bath|258 II|257 Il|215 II|146|25|29||7|8|36|6|1||
Biddeford|528 II|526 Il|435 II|293|65|41|2|13|21|84|7|1||1
|129 Il|129 II|106 II|77|9|13||2|5|23||||
Lewiston|310 II|310 Il|208 Il|102|62|30|3|3|8|100|2|||
Portland||||||||||||||
Sanford town|527|527|367|194|106|50||7|10|156|4|||
Waterville||||||||||||||
|1.020 II|1.014 Il|777 II|527|124|65|3|20|38|227|10|6||
MARYLAND.|87 Il|87 Il|66 Il|46|10|6||1|3|21||||
Annapolis||||||||||||||
Baltimore|177|177 Il|132 Il|64|28|25||6|9|41|4|||
Cumberland||||||||||||||
Frederick||||||||||8|1|81||
Hagerstown|157|76|67|42|5|2|1|8|9|||||
|10,380|8,106|6,429|3,852|1,235|519|94|284|445|1,606|71|2,265|1|8
|433|413|368|247|38|.20|13|32|18|41|4|20||
|207|181|174|151|9|4|1|5|4|4|3|26||
|336|308|298|253|8|13|2|14|8|4|6|28||

||||||WHITE.||||||||
||||||Native.||||||||
REGISTRATION AREA.|All deaths.|Total.||||One foreign the|parent born, other-|Parentage unknown.||Foreign|Nativ-|Negro.|Japa- nose.|Other col- ored.
|||Total.|Both parents native.|Both parents foreign born.|Native.|Un- known.|One parent un- known, the other native.|Both parents un- known.|born.|ity un- known.|||
REGISTRATION CITIES-Continued||||||||||||||
MASSACHUSETTS.|135|135|73|28|28|4|2|6|5|62||||
Adams town|117|117 Il|78 Il|51|17|4||1|5|39||||
Amesbury town|217 Il|217 1|152 il|83|42|20||5|2|65||||
Arlington town Attleboro.|238|236 I|183 Il|97|49|17|2|7|11|51|2|2||
Belmont town|80|80 I|61 If|40|12|6||1|2|19||||
|248|242|186|108|39|19||11|9|56||1||
Beverly Boston|10.226|9,882 I|5,914 Il|2.278|2,472|710|56|217|181|3,902 I|66|326||18
Braintree town|132|132|96|41|29|12||10|4|36||||
Brockton|686|684|505 II|306|117|46|5|22|9|178|1|2||
Brookline town|899|399 I|290|191|53|15|3|15|13|105|4|||
Cambridge|1,388|1,293|777|327|311|94|13|20|12|515|1|91|1|3
Chelsea|576 II|567 I|372|165|131|29|6|14|27|188|7|9||
Chicopee.|327 II|327 I|202 il|55|111|27|4|3|2|124|1|||
Clinton town|176|176 Il|111 Il|26|67|12||5|1|65||||
Danvers town|291|291|198|117|46|15||5|15|93||||
Dedham town|112|112|67|38|19|6|||4|44|1|||
Easthampton town|111|II 111|II 76|I 34|30|8|1|1|2|34|1|||
Everett Fall River|348|Il 333 Il|223|103|72|34|3|4|7|108|2|14||1
Fitchburg|1,717|1,712|Il 1,070|311|567|140|10|26|16|638|4|4||1
|432|431|Il 282|100|114|43|3|10|12|146|3|1||
Framingham town Gardner town|255|253|189|97|57|17|1|8|9|63|1|2||
Gloucester|190|189|135|65|38|16|2|4|10|54||1||
Greenfield town|302|301|202|125|33|31|1|3|9|98|1|||1
Haverhil|161|159|II 127|Il 73|21|10|4|10|9|82||2||
|664|656|Il 492|Il 305|101|40|3|18|25|161|3|8||
Holyoke||||||||||||||
Lawrence.|745|740|438|124|221|61||22|10|299|3|4||1
Leominster|1,075|1,072|Il 546|128|304|90|6|6|12|524|2|3||
Lowell|200|198|Il 147|64|41|21|1|10|10|51||2||
Lynn|1,465|Il 1,460|Il 883|296|391|140|11|18|27|566|11|4||1
Malden|1,108|1,094|I 737|367|204|89|8|38|31|354|3|13|1|
Marlborough|565|557|365|178|101|51||22|18|190|2|8||
Medford Melrose|173|173|Il 117|54|38|17||6|2|56||||
Methuen|368|360|Il 255|146|51|34|2|13|9|105||8||
|206|205|Il 151|104|22|17|2|5|1|54||1||
Milford town|201|200|Il 104|44|32|17|3|5|3|96|||1|
Natick town New Bedford|182|182|115|41|56|9||3|6|67||||
Newburyport|142|Il 141|Il 95|I 55|16|13||9|2|46||1||
||||||||||||||
Newton|1,384|1,295|Il 818|255|406|100|11|28|18|474|3|88||1
North Adams|214|II 210|I 169|112|37|13||5|2|40|1|4||
Northampton *|466|Il 461|Il 323|205|71|34|1|8|4|138||5||
Northbridge town|270|270|186|88|49|28|1|7|13|81|3|||
Norwood town Peabody|422|II 416|Il 309|Il 192|80|26|1|6|4|107||5|I 1|
|90|Il 90|Il 50|21|23|4||2||38|2|||
Pittsfield|128|II 128|Il 80|If 35|36|8|||1|48||||
Plymouth town|195|Il 195|l' 124|I 59|54|8||2|1|71||||
Quincy||||||||||||||
Revere|558|551|428|205|128|45|8|15|27|120|3|6||1
Salem|167|162|Il 118|Il 68|32|13||1|4|43|1|5||
|416|416|251|104|90|33|1|13|10|162|3|||
Saugus town|185|Il 185|I 104|39|40|16|1|4|4|81||||
Somerville.|542|Il 538|II 863|183|115|38|5|12|10|172|3|8||1
Southbridge town||||||||||||||
Springfield|105|104|71|36|16|12||5|2|33||1||
|988|979|622|Il 331|175|71|3|28|14|356|1|7||2
Taunton|132|132|75|Il 26|30|12|1|5|1|56|1|||
Wakefield town Waltham|1,542|1,498 I|1,054|503|315|115|9|46|66|437|7|44||
Watertown town|635|625|419|208|137|40|2|15|17|201|5|10||
Webster town|130|130 Il|93|54|27|9|1|1|1|37||||
West Springfield town|409|Il 409|II 278|138|80|32|2|15|11|128|a|||
Westfield town|176|175 II|109|54|39|9|1|4|2|65|1|1||
Weymouth town|132|132|73|33|28|7|1|3|1|59||||
Winchester town|117|114 Il|82|42|26|9||8|2|32||3||
Winthrop town|224|221 Il|165|84|52|13||8|8|55|1|3||
Woburn|131|131 Il|100|66|17|9|1|5|2|31||||
Worcester|116|114|74|49|15|7|||3|39|1|2||
|145|Il 145 Il|100|I 53|19|10|1|6|11|44 I|1|||
|167 Il|161 Il|111|Il 52|40|13||5|1|50||6||
|2,387|2,363|1,520|657|552|164|6|66|75|833|10|24||

||||||WHITE.||||||||
||||||Native.||||||||
REGISTRATION AREA.|All deaths.|||||One foreign the|parent born, other-|Parentage unknown.|||Nativ-|Negro.|Japa- nese,|Other col-
||Total.|Total.|Both parents native.|Both parents foreign born.|Native.|Un- known|One parent un- known the other native.|Both parents un- known.|Foreign born.|ity un- known.|||ored.
REGISTRATION CITIES-Continued.||||||||||||||
MICHIGAN.|184|188|154|109|14|13|1|12|5|25|4|1||
Adrian|154 Il|154 Il|92 II|32|28|24|2|2|4|61|1|||
Alpena Ann Arbor*|504 If|483 I|392 Il|198|91|38|5|27|33|85|6|21||
Battle Creek|582 Il|572 Il|486 Il|304|48|32|7|39|56|77|9|10||
Bay City|632 li|628|425 Il|216|83|65|9|14|to 38|198|5|3||1
Benton Harbor|181|174|140|80|21|12|2|5|e 20|81|31|6||1
Detroit|10.386|9.653 Il|6.223 II|2.225|2.307|962|117|267|345|3,230|200|728|4|1
Escanaba|215|215|120|44|38|28|3|2|5|84|11|||
Flint|847|823|665|378|123|79|15|26|44|149|9|24||
Grand Rapids|1.538 II|1.522 II|1.023 Il|492|271|123|16|62|59|492|7|18||3
Hamtramck|452|415|315|23|262|21|8||1|97|3|37||
Highland Park|342 Il|334 Il|223 Il|92|61|31|7|13|19|108|3|8||
Holland|105 Il|104 II|66 Il|34|20|10||1|1|38||1||
Ironwood|133 II|133 Il|67 Il|14|42|11||||65|1|||
Ishpeming|116 II|116 Il|58 Il|18|32|8||||57|1|||
Jackson|686|678|563|342|85|52|9|28|47|103|7|13||
Kalamazoo|897 Il|881 Il|676 Il|388|95|56|17|55|65|164|41|16||
Lansing Marquette|638|627 Il|540 Il|352|49|49|7|43|40|84|3|11||
Monroe.|188 Il|188 Il|110 Il|47|35|16|2|4|6|73|5|||
|180 II|130 Il|100 II|56|24|10||4|6|28|2|||
Muskegon Owosso.|469|462|277|122|68|37|6|9|35|180|5|6||1
Pontiac*|211 Il|211 II|172 Il|109|24|13|2|9|15|36|3|||
Port Huron|438 II|426 II|305 II|184|59|37|4|10|11|115|6|12||
|374 Il|366 Il|227 II|107|70|35|3|5|7|136|3|8||
Saginaw||||||||||||||
Sault Ste. Marie|810|805|536|220|137|76|16|85|52|265|4|5||
Traverse City*|154 Il|152 Il|95 Il|33|27|27|1|3|4|53|4|||2
Wyandotte|347 II|340 Il|217 Il|103|42|23|4|12|33|109|14|2||5
MINNESOTA.|172 Il|171 11|120 Il|45|48|21|1|3|2|49|2||1|
Austin||||||||||||||
Duluth|111|110|-77|47|14|11|1|2|2|31|2|1||
Faribault|931|924 Il|488 Il|194|167|92|5|9|21|429|7|5||2
Hibbing|207 II|206 Il|143 Il|59|50|15|1|4|14|60|3|||1
Mankato|132 Il|132 Il|80 If|28|32|17||2|1|49|3|||
Minneapolis|198 Il|198 Il|119 Il|49|29|11|8|6|16|77|2|||
Rochester|4,289|4,225 Il|2,735 Il|1,248|851|388|24|121|103|1,456|34|60||4
St. Cloud Paul|817|811|566|228|146|69|19|29|75|232|13|6||
St. Virginia|192 Il|192 Il|137 I|71|37|25||2|2|52|3|||
Winona|2,555 Il|2,495 Il|1,493 Il|638|523|208|23|51|50|987|15|56||4
|116 II|116 Il|59 Il|16|30|10||3||49|8|||
MISSISSIPPI|245 II|245 li|170 Il|87|51|21|1.|4|6|74|1|||
Biloxi Columbus||||||||||||||
Greenville|157 I|126 Il|116 íl|75|18|11|3|5|4|7|3|31||
Hattiesburg|137 Il|53 I|51 Il|32|1|1||18|4|1|1|84||
Jackson|295 Il|69 Il|63 II|34|10|2|2|4|11|5|1|225||1
|139 Il|74 Il|72|59|1|3||5|4|1|1|65||
Laurel Meridian *|856 II|290 Il|266 Il|167|9|8||16|66|7|17|566||
Natchez||||||||||||||
Vicksburg *|217|125|121|89|3|4||11|14|2|2|92||
|450 I|229 Il|221 Il|170 I|3|4|1|24|19|3|5|221||
MISSOURI.|199 Il|64 I|59 Il|44|3|2||3|7|5||135||
||||||||||||||
Cape Girardeau|541 II|148 Il|115 I|71|10|5|2 1|12|15|11|22|393||
Carthage||||||||||||||
Columbia||||||||||||||
Hannibal|186|168|151|97|22|5|2|9|16|11|6|18||
Independence|142 II|136 I|125 Il|79|6|4|1|9|26|10|1|6||
|172 1|128 Il|122 I|96|5|5|2|12|2|3|3|44||
Jefferson City|220 I|194 Il|174 II|112|12|7|2|16|25|16|4|26||
Joplin Kansas City|203 I|185 1|168 Il|112|16|5|1|13|21|17||18||
Moberly|174|145|115|70|15|5|2|6|17|20|10|29||
It.Joseph|415|405 Il|378 1!|248|11|12|7|42|58|21|6|10||
St. Louis|4,654|3,891 I|3,179|1,799|332|179|55 1|338|476|546|166|758||5
Sedalia|207|193|181|143|9|4|1|11|13|11|1|14||
Springfield|1,253|1,188|965|581|86|47|17|79|155|-144|79|65||:
|9,607|8,306 I|5,896|II 2,789|1,616|522|151|289|529|2,298|112|1,289|1|11
|300|268 I|248|Il 178|14|13|5|19|19|19|1|32||
|593|556 II|508|349|12|16|4|59|68|I 30|18|37||

||||||WHITE.||||||||
||||||Native.||||||||
REGISTRATION AREA.|All deaths.|||||One foreign the|parent born, other-|Parentage unknown.|||Nativ-|Negro.|Japa- nese.|Other col- ored.
||Total.|Total.|Both parents native.|Both parents foreign born.|Native.|Un- known.|One parent un- known, the other native.|Both parents un- known.|Foreign born.|ity un- known.|||
REGISTRATION CITIES-Continued||||||||||||||
MONTANA. Anaconda|118|114|66|20|26|10||4|6|47|1|4||
Billings|198 Il|194 Il|152 Il|73|34|18|1|10|16|40|2|3||1
Butte|468 Il|460 Il|272|95|99|30|6|15|27|178|10|2||6
Great Falls|263 Il|254 Il|167 Il|68|32|21|5|16|25|83|4|8||1
Helena|167 Il|161 Il|100|41|22|10||8|19|52|9|2||4
Missoula|212 Il|200 Il|148 II|84|22|15|8|5|19|49|3|3|1|8
NEBRASKA, Grand Island|231|228|175|93|27|18|8|8|21|48|5|3||
Hastings|167 Il|164|126|76|29|9|1|4|7|38||3||
Lincoln|714 Il|697 Il|555 II|307|96|44|6|39|63|132|10|17||
North Platte|104 Il|101 Il|82 Il|54|6|5|1|5|11|16|3|1|2|
Omaha|2,599|2,427|1,766 Il|843|402|162|33|114|212|610|51|167||5
NEW HAMPSHIRE.||||||||||||||
Berlin|173|173|117|31|55|21||2|8|55|1|||
Concord *|424|422|325 II|189|31|31|4|19|51|83|14|2||
Dover Keene|181|181|130 Il|82|22|8|2|5|11|49|2|||
|157|157 Il|119 Il|77|11|11||8|12|30|8|||
Laconia Manchester|172|172|140|82|13|11|4|8|22|23|9|||
Nashua|950 Il|950 If|612 Il|208|206|94|6|26|72|327|11|||
Portsmouth|405 Il|405 Il|288|Il 144|74|36|1|5|28|113|4|||
|186 II|184|149|Il 90|25|15||5|14|32|3|2||
NEW JERSEY. Asbury Park Atlantic|158|112|86|59|16|3||5|3|23|3|44||2
City Bayonne|981 Il|772 Il|612|Il 387|131|65|7|13|9|155|5|208||1
Belleville *|790 II|782|Il 533|Il 150|313|54|6|3|7|249||8||
Bloomfield|327 I|288|192|Il 86|75|22|2|4|3|96||39||
|160|158|111|Il 67|29|5|3|3|4|46|1|2||
Bridgeton Camden|247|231|213|167|20|7||15|4|17|1|16||
Clifton|1,535|1,355|1,079|Il 641|239|97|12|1 48|42|266|10|180||
East Orange Elizabeth|195|195 Il|110|Il 36|58|10|1|2|3|84|1|||
|378|357|278|Il 182|54|27|5|4|6|79||20||1
Englewood|1,008|970|632|249|270|68|8|12|25|334|4|38||
Garfield Gloucester|197|184|126|67|31|17||7|4|58||13||
Hackensack|143|143 Il|89 Il|5|78|4|2|||54||||
Harrison|146|146 I.|119 il|74|25|11|2|2|5|26|1|||
Hoboken|305|286 li|191|Il 88|68|25||8|2|93|2|19||
Irvington|122|121|70|Il 23|37|8||2||50|1|1||
Jersey City Kearny|865|862|479|167|235|51|9|7|10|374|9|3||
Long Branch|229|227|129|55|66|16|||2|96|2|2||
|3,601|3,451|2,297|868|1,015|255|33 I|46|80|1,130|24|150||
Millville.|266|264|179|63|48|20|2|4|42|82|3|2||
Montclair *|358|312|239|142|57|26|3|5|6|69|4|46||
Morristown||||||||||||||
New Brunswick|181|178|156|129|13|5||8|1|22||3||
Newark|212|182|139|Il 87|28|14|2|4|4|43||30||
Orange|301|280|216|Il 127|51|23|1|10|4|61|8|21||
Passaic|485|459|312|II 156|105|28|3|14|6|143|4|26||
Paterson|4,638|238|2,617|1,073|1,118|264|29|44|89|1,593|28|394||6
Perth Amboy||||||||||||||
Phillipsburg|528|450|308|160|101|32|2|5|8|140|2|78||
|695|680 II|419|II 127|230|45|5|5|7|254|7|15||
Plainfield|1,746|705 II|978|Il 411|372|119|21|24|31|715|12|41||
Rahway Roosevelt|501|492|298|83|176|33|2|3|1|188|6|9||
Summit|186|186|153|106|36|6|1|4||32|1|||
Trenton|374|334|248|155|62|26||4|1|85|1|40||
Union|161|154 II|115 Il|77|26|8||1|3|39||7||
West Hoboken|56|56|II 36|Il 3|31|1|||1|20||||
West New York|146|139|II 100|Il 66|18|12|1|1|2|37|2|7||
West Orange|1,610|98|1.077|611|313|90|8|29|26|415|6|112||
|155|155|87|32|40|11|2||2|68||||
|270|270|127|40|60|18|1|4|4|142|1|||
|197|197|127|Il 54|55|13||2|3|70||||
|97|97|59|"I| 27"|22|8||1|1|38||||

||||||WHITE.||||||||
||||||Native.||||||||
REGISTRATION AREA.|All deaths.|Total.|||Both|One foreign the|parent born, other-|Parentage unknown.||Foreign horn|Nativ- ity un-|Negro.|Japa- nese.|Other col- ored.
|||Total.|Both parents native.|parents foreign born.|Native.|Un- known|One parent un- known the other native.|Both parents un- known.||known.|||
||||||||||||||
REGISTRATION CITIES-Continued.|1,742|1,722|1,246|591|402|123|26|39|65|458|18|20||
NEW YORK.|416 Il|412|278|If 126|108|21|3|9|11|131|3|4||
|495|486 II|380 II|198|117|34|4|13 1|14|104|2|9||
Albany|242 II|239 II|185 II|95|59|18|8|I. 6|4|51|3 I|3||
Amsterdam Auburn|170 II|164 11|119 II|66|28|11|2|5|7|45||6||
Batavia Beacon*|1.047|1,030|834|523|151|55|10|46|49|187|9|17||
|6,536 Il|6,422|4,375|1,703|1,786|620|56|123|87|2.014|33|108||6
Binghamton|290 II|290|208 II|71|93|36|2|1|5|80|2|||
Buffalo|177|II 176|Il 139 II|84|24|4|2|16|9|36|1|1||
Cohoes.|202|201|l' 171|105|15|10|2|5|34|27|3 I|1||
Corning Cortland|222|219|145|67|52|17|2|4|3|74||2||1
|623|609|II 481 Il|289|81|32|4|34|41|125|3 I|14||
Dunkirk Elmira|180|II 180|II 140|Il 77|33|7|2|3|18|37|3|||
Fulton|190|Il 185|Il 150 Il|70|47|15||3|15|35||5||
Geneva.|266|II 266|Il 213 Il|148|36|16|2|7|4|52|1|||
Glens Falls|344|342|292|145|50|27|2|38|30|49|1|2||
Gloversville|127|II 127|II 109|II 51|39|12||5|2|18||||
Herkimer|226|II 225|II 201|Il 184|30|12||15|10|22|2|1||
Hornell|191|II 186|Il 147|Il 83|32|7|2|12|11|39||5||
Hudson Ilion|114|II 114|Il 89|If 46|16|'6|1|8|12|25||||
Ithaca|269|260|221|154|32|12||12|11|38|1|9||
Jamestown|479|Il 475|1 312|Il 167|86|33|1|11|14|161|2|4||
Johnstown|139 465|138 451|118 360|74 239|22 74|5 30|1|5|11 5|20 88|3|1 14||
Kingston|350|347|294|127|100|32|1 5|11 27|3|52|1|3||
Lackawanna*|145|145|110|56|28|10|2|5|9|35||||
Little Falls|288|Il 287|Il 212|II 118|51|27|3|3|10|72|3|1||
Lockport|408|II 400|Il 323|II 223|54|20|3|4|19|75|2|8||
Middletown*|406|II 387|If 259|II 112|101|34|1|5|6|125|3|19||
Mount Vernon|301|282|Il 193|Il 90|65|25|2|2|9|89||19||
New Rochelle|64,603|61,575|34,375|12,384|17,170|4,042|133|203|443|26.874|326|2,851|31|146
New York Bronx Borough|6,975|Il 6,875|II 3,630|1,171|1,955|457|6|23|18|3,234|11|99||1
Brooklyn Borough|22,184|21,547|II 12,525|4,722|6,066|1,526|40|60|111|8,964|58|614|5|18
Manhattan Borough|28,885|26,756|II 14,256|Il 4,794|7,448|1,561|72|102|279|12,275|225|1,981|23|125
Queens Borough|5.032|4,925|II 3.067|1,283|1.354|390|13|12|15|1,843|15|105|1|1
Richmond Borough|1,527|1,472|II 897|414|347|108|2|6|20|558|17|52|2|1
Newburgh|431|422|321|192|74|26|7|16|6|101||9||
Niagara Falls.|622|611|I 388|Il 129|187|55|4|7|6|219|4|10||1
North Tonawanda Ogdensburg*|181|II 181|Il 126|Il 45|50|28|1|1|1|51|4|||
Olean|457|II 454|Il 320|II 163|54|52|6|I 10|35|128|6|3||
|294|Il 294|II 236|147|44|10|4|13|18|57|1|||
Oneida||||||||||||||
Oneonta|149|147|115|72|22|8||2|11|27|5|||2
Ossining|199|Il 198|Il 182|II 127|11|17|2|10|15|16||1||
Oswego||||||||||||||
Peekskill|155|Il 151|II 121|II 61|27|15|1|4|13|30||4||
|330|Il 328|II 234|II 101|65|34|13|9|12|93|1|2||
Plattsburg.|187|II 183|Il 151|Il 90|30|7|4|9|11|27|5|4||
Port Chester||||||||||||||
Port Jervis|196|195|160|93|35|12|3|3|14|33|2|1||
Poughkeepsie|190|Il 183|Il 116|1 51|39|18|2|2|4|63|4|6|1|
