|||||||DEATHS|OCCURRING|IN-||||
||||||||||||||
East St: Louis|753|613|503|291|91|28|16|36|41|99|11|140||
Elgin|532|526|319|136|77|17|6|17|66|184|23|6||
Evanston|410|380|284|114|88|33|6|16|27|96||30||
Forest Park|99|99|38|20|13|4|||1|61||||
Freeport|308|303|240|120|63|31|3|14|9|60|3|5||
Galesburg|324|314|230|159|26|25||7|13|81|3|10||
Granite City|158|155|112|64|24|6|1|12|5|40|3|3||
Herrin|140|139|119|84|9|7|1|11|7|17|3|1||
Jacksonville|448|416|352|181|48|20|6|19|78|52|12|32||
Joliet|515|497|339|116|147|38|5|15|18|149|9|18||
Kankakee|225|222|153|92|34|8|2|4|13|67|2|3||
Kewanee|221|219|159|90|43|13|2|8|3|60||2||
La Salle|151|151|85|29|37|14|2|1|2|65|1|||
Lincoln *|203|197|156|92|25|14|1|5|19|35|6|6||
Mattoon|201|198|186|123|12|7|2|15|27|10|2|3||
Maywood|106|100|54|30|14|7|1|1|1|45|1|6||
Moline|306|297|166|81|44|12|3|8|18|128|3|8||
Murphysboro|124|111|91|59|9|7|1|8|7|20||12||1
Oak Park|527|525|347|173|107|39|5|11|12|177|1|1||1
Ottawa|148|148|107|53|28|10||7|9|41||||
Pekin|128|128|98|65|13|4|2|5|9|30||||
Peoria|1,014|980|781|422|136|68|14|55|86|178|21|34||
Quincy|511|485|363|158|69|20|15|20|81|117|5|26||
Rock Island|356|341|239|121|55|25|2|11|25|101|1|15||
Rockford|694|679|450|225|127|39|8|19|32|223|6|15||
Springfield|903|853|696|413|130|48|12|60|33|144|13|50||
Streator|214|211|150|96|35|13|2|3|1|60|1|3||
Urbana|79|75|69|44|3|5|2|3|12|6||4||
Waukegan|226|218|154|77|47|10|5|5|10|59|5|8||
INDIANA.||||||||||||||
Anderson|312|298|282|222|15|11|2|19|13|16||14||
Bloomington|144|131|130|107|4|3|1|10|5|1||13||
Clinton|101|93|76|45|12|9|2|2|6|17||8||
Crawfordsville|152|143|133|113|4|3||6|7|9|1|9||
East Chicago|382|361|269|58|176|22|4|7|2|90|2|21||
Elkhart|307|304|267|186|18|19|6|19|19|34|3|3||
Elwood|141|141|129|106|8|||10|5|10|2|||
Evansville|1,000|908|797|454|108|63|18|57|97|100|11|92||
Fort Wayne|978|952|787|501|133|61|14|30|48|162|3|26||
Frankfort|165|163|159|129|6|1||13|10|3|1|2||
Gary|711|585|402|150|177|43|2|16|14|182|1|126||
Hammond|407|403|274|120|90|32|2|7|23|123|6|4||
Huntington|197|197|184|129|8|6|2|23|16|13||||
Indianapolis|4,119|3,511|3,052|2,086|302|162|51|236|215|415|44|608||
Jeffersonville|118|88|77|50|12|2||6|7|9|2|30||

||||||WHITE.||||||||
||||||Native.||||||||
REGISTRATION AREA.|All deaths.|||||One foreign the|parent born, other-|Parentage unknown.||Foreign|Nativ-|Negro.|Japa- nese.|Other col- ored.
||Total.|Total.|Both parents native.|Both parents foreign born.|Native.|Un- known.|One parent un- known, the other native.|Both parents un- known.|born.|ity un- known.|||
REGISTRATION CITIES-Continued. INDIANA-continued.||||||||||||||
Kokomo|339|326|307|216|18|10|4|24|35|17|2|13||
La Porte|180|178|141|72|34|14|2|5|14|36|1|2||
Lafayette|416|409|350|260|35|13|5|14|23|55|4|7||
Logansport|252|248|203|139|20|11|2|7|24|37|8|4||
Marion|342|314|296|195|9|8|3|44|37|14|4|28||
Michigan City|253|241|147|67|57|14||6|3|93|1|12||
Mishawaka|185|185|151|78|26|14|1|17|15|30|4|||
Muncle|463|414|399|299|14|14|5|23|44|12|3|49||
New Albany|306|275|246|161|37|10|7|14|17|28|1|31||
New Castle|138|134|133|113|2|2||7|9|1||4||
Peru|146|141|129|89|14|3|2|9|12|12||5||
Richmond|309|288|257|163|32|12|2|24|24|28|3|21||
South Bend|723|697|527|282|119|45|3|25|53|166|4|26||
Terre Haute|897|821|713|515|67|31|4|60|36|93|15|76||
Vincennes|288|286|263|195|16|10|4|18|20|19|4|2||
Whiting|105|105|76|22|47|3|1|1|2|28|1|||
KANSAS.||||||||||||||
Arkansas City|135|121|112|70|5|4|1|12|20|6|3|9||5
Atchison|163|130|109|58|7|6|3|10|25|18|3|33||
Chanute|166|161|150|93|12|6|3|16|20|11||5||
Coffeyville|178|150|137|87|9|7|3|14|17|12|1|27||
El Dorado|92|90|87|58|4|2|3|6|14|3||2||
Emporia|143|131|110|73|.8|9|1|15|4|18|3|12||
Fort Scott|168|150|129|80|7|5|2|9|26|11|10|18||
Hutchinson|260|246|225|149|14|6|4|16|36|16|5|14||
Independence|134|122|111|68|4|5|1|14|19|10|1|12||
Kansas City|1,257|984|788|428|123|43|17|68|109|179|17|272||1
Lawrence|181|157|135|94|10|12|3|10|6|21|1|23||1
Leavenworth|244|208|136|64|27|12|2|10|21|65|7|36||
Parsons|164|141|125|74|11|5||14|21|12|4|23||
Pittsburg|162|157|139|79|7|6||14|33|16|2|5||
Salina|186|181|158|105|19|11|3|9|11|18|5|5||
Topeka|726|640|522|289|74|36|9|48|66|112|6|85||
Wichita|973|908|823|478|56|36|12|85|156|66|19|65||
KENTUCKY.||||||||||||||
Ashland|251|237|229|185|4|5|3|11|21|6|2|14||
Covington|734|664|536|316|113|37|14|16|:40|121|7|70||
Henderson|188|121|115|91|8||1|8|7|6||67||
Lexington|912|614|563|432|21|8|2|29|71|18|33|298||
Louisville|3,314|2,514|2,093|1,295|302|130|35|128|203|386|35|800||
Newport|294|271|207|117|53|10|5|5|17|64||23||
Owensboro|307|245|238|204|5|2|1|12|14|7||62||
Paducah|411|285|269|178|6|4||24|57|10|6|126||
LOUISIANA.||||||||||||||
Alexandria|342|162|148|101|13|5|1|11|17|9|5|180||
Baton Rouge|323|173|158|117|14|7|1|11|8|12|3|150||
Lake Charles|229|138|124|78|5|11|3|14|13|13|1|91||
Monroe|260|143|126|71|7|6||21|21|12|5|117||
New Orleans|6,468|4,005|3,244|1,823|747|346|29|76|223|752|9|2,451|2|10
Shreveport *|1,038|473|419|283|17|7|8|37|67|37|17|565||
MAINE.||||||||||||||
Auburn|213|213|182|137|17|22||2|4|31||||
Augusta|258|257|215|146|25|29||7|8|36|6|1||
Bangor|528|526|435|293|65|41|2|13|21|84|7|1||1
Bath|129|129|106|77|9|13||2|5|23||||
Biddeford|310|310|208|102|62|30|3|3|8|100|2|||
Lewiston|527|527|367|194|106|50||7|10|156|4|||
Portland|1,020|1,014|777|527|124|65|3|20|38|227|10|6||
Sanford town|87|87|66|46|10|6||1|3|21||||
Waterville|177|177|132|64|28|25||6|9|41|4|||
MARYLAND.||||||||||||||
Annapolis|157|76|67|42|5|2|1|8|9|8|1|81||
Baltimore.|10,380|8,106|6,429|3,852|1,235|519|94|284|445|1,606|71|2,265|1|8
Cumberland|433|413|368|247|38|20|13|32|18|41|4|20||
Frederick|207|181|174|151|9|4|1|5|4|4|3|26||
Hagerstown|336|308|298|253|8|13|2|14|8|4|6|28||

||||||WHITE.||||||||
||||||Native.||||||||
REGISTRATION AREA.|All deaths.|Total.||||One foreign the|parent born, other-|Parentage unknown.||Foreign|Nativ-|Negro.|Japa- nose.|Other col- ored.
|||Total.|Both parents native.|Both parents foreign born.|Native.|Un- known.|One parent un- known, the other native.|Both parents un- known.|born.|ity un- known.|||
REGISTRATION CITIES-Continued. MASSACHUSETTS.||||||||||||||
Adams town|135|135|73|28|28|4|2|6|5|62||||
Amesbury town|117|117|78|51|17|4||1|5|39||||
Arlington town|217|217|152|83|42|20||5|2|65||||
Attleboro|238|236|183|97|49|17|2|7|11|51|2|2||
Belmont town|80|80|61|40|12|6||1|2|19||||
Beverly|243|242|186|108|39|19||11|9|56||1||
Boston|10,226|9,882|5,914|2,278|2,472|710|56|217|181|3,902|66|326||18
Braintree town|132|132|96|41|29|12||10|4|36||||
Brockton|686|684|505|306|117|46|5|22|9|178|1|2||
Brookline town|399|399|290|191|53|15|3|15|13|105|4|||
Cambridge|1,388|1,293|777|327|311|94|13|20|12|515|1|91|1|3
Chelsea|576|567|372|165|131|29|6|14|27|188|7|9||
Chicopee|327|327|202|55|111|27|4|3|2|124|1|||
Clinton town|176|J76|111|26|67|12||5|1|65||||
Danvers town *|291|291|198|117|46|15||5|15|93||||
Dedham town|112|112|67|38|19|6|||4|44|1|||
Easthampton town|111|111|76|34|30|8|1|1|2|34|1|||
Everett|348|333|223|103|72|34|3|4|7|108|2|14||1
Fall River|1,717|1,712|1,070|311|567|140|10|26|16|638|4|4||1
Fitchburg|432|431|282|100|114|43|3|10|12|146|3|1||
Framingham town|255|253|189|97|57|17|1|8|9|63|1|2||
Gardner town|190|189|135|65|38|16|2|4|10|54||1||
Gloucester|302|301|202|125|33|31|1|3|9|98|1|||i
Greenfield town|161|159|127|73|21|10|4|10|9|32||2||
Haverhill|664|656|492|305|101|40|3|18|25|161|3|8||
Holyoke|745|740|438|124|221|61||22|10|299|3|4||1
Lawrence|1,075|1,072|546|128|304|90|6|6|12|524|2|3||
Leominster|200|198|147|64|41|21|1|10|10|51||2||
Lowell|1,465|1,460|883|296|391|140|11|18|27|566|11|4||1
Lynn|1,108|1,094|737|367|204|89|8|38|31|354|3|13|1|
Malden|565|557|365|178|101|51||22|13|190|2|8||
Marlborough|173|173|117|54|38|17||6|2|56||||
Medford|368|360|255|146|51|34|2|13|9|105||8||
Melrose|206|205|151|104|22|17|2|5|1|54||1||
Methuen|201|200|104|44|32|17|3|5|3|96|||1|
Milford town|182|182|115|41|56|9||3|6|67||||
Natick town|142|141|95|55|16|13||9|2|46||1||
New Bedford|1,384|1,295|818|255|406|100|11|28|18|474|3|88||1
Newburyport|214|210|169|112|37|13||5|2|40|1|4||
Newton|466|461|323|205|71|34|1|8|4|138||5||
North Adams|270|270|186|88|49|28|1|7|13|81|3|||
Northampton *|422|416|309|192|80|26|1|6|4|107||5|1|
Northbridge town|90|90|50|21|23|4||2||38|2|||
Norwood town|128|128|80|35|36|8|||1|48||||
Peabody|195|195|124|59|54|8||2|1|71||||
Pittsfield|558|551|428|205|128|45|8|15|27|120|3|6||1
Plymouth town|167|162|118|68|32|13||1|4|43|1|5||
Quincy|416|416|251|104|90|33|1|13|10|162|3|||
Revere|185|185|104|39|40|16|1|4|4|81||||
Salem|542|538|363|183|115|38|5|12|10|172|3|3||1
Saugus town|105|104|71|36|16|12||5|2|33||1||
Somerville|988|979|622|331|175|71|3|28|14|356|1|7||2
Southbridge town|132|132|75|26|30|12|1|5|1|56|1|||
Springfield|1, ,542|1,498|1,054|503|315|115|9|46|66|437|7|44||
Taunton *|635|625|419|208|137|40|2|15|17|201|5|10||
Wakefield town|130|130|93|54|27|9|1|1|1|37||||
Waltham|409|409|278|138|80|32|2|15|11|128|3|||
Watertown town|176|175|109|54|39|9|1|4|2|65|1|1||
Webster town|132|132|73|33|28|7|1|3|1|59||||
West Springfield town|117|114|82|42|26|9||3|2|32||3||
Westfield town|224|221|165|84|52|13||8|8|55|1|3||
Weymouth town|131|131|100|66|17|9|1|5|2|31||||
Winchester town|116|114|74|49|15|7|||3|39|1|2||
Winthrop town|145|145|100|53|19|10|1|6|11|44|1|||
Woburn|167|161|111|52|40|13||5|1|50||6||
Worcester|2,387|2,363|1, 520|657|552|164|6|66|75|833|10|24||

||||||WHITE.||||||||
||||||Native.||||||||
REGISTRATION AREA.|All deaths.|||||One foreign the|parent born, other-||Parentage unknown.||Nativ-|Negro.|Japa- nese.|Other col- ored.
||Total.|Total.|Both parents native.|Both parents foreign born.|Native.|Un- known.|One parent un- known, the other native.|Both parents un- known.|Foreign born.|its un- known.|||
REGISTRATION CITIES-Continued. MICHIGAN.||||||||||||||
Adrian|184|183|154|109|14|13|1|12|5|25|4|1||
Alpena|154|154|92|32|28|24|2|2|4|61|1|||
Ann Arbor*|504|483|392|198|91|38|5|27|33|85|6|21||
Battle Creek|582|572|486|304|48|32|7|39|56|77|9|10||
Bay City|632|628|425|216|83|65|9|14|9 38|198|5|3||
Benton Harbor|181|174|140|80|21|12|2|5|20|31|3|6||1
Detroit|10,386|9,653|6,223|2,225|2,307|962|117|267|345|3,230|200|728||1
Escanaba|215|215|120|44|38|28|3|2|5|84|11|||
Flint|847|823|665|378|123|79|15|26|44|149|9|24||
Grand Rapids|1,538|1,522|1,023|492|271|123|16|62|59|492|7|13||3
Hamtramck|452|415|315|23|262|21|8||1|97|3|37||
Highland Park|342|334|223|92|61|31|7|13|19|108|3|8||
Holland|105|104|66|34|20|10||1|1|38||1||
Ironwood|133|133|67|14|42|11||||65|1|||
Ishpeming|116|116|58|18|32|8||||57|1|||
Jackson|686|673|563|342|85|52|9|28|47|103|7|13||
Kalamazoo|897|881|676|388|95|56|17|55|65|164|41|16||
Lansing|638|627|540|352|49|49|7|43|40|84|3|11||
Marquette|188|188|110|47|35|16|2|4|6|73|5|||
Monroe|130|130|100|56|24|10||4|6|28|2|||
Muskegon|469|462|277|122|68|37|6|9|35|180|5|6||1
Owosso.|211|211|172|109|24|13|2|9|15|36|3|||
Pontiac|438|426|305|184|59|37|4|10|11|115|6|12||
Port Huron|374|366|227|107|70|35|3|5|7|136|3|8||
Saginaw|810|805|536|220|137|76|16|35|52|265|4|5||
Sault Ste. Marie|154|152|95|33|27|27|1|3|4|53|4|||2
Traverse City|347|340|217|103|42|23|4|12|33|109|14|2||5
Wyandotte|172|171|120|45|48|21|1|3|2|49|2||1|
MINNESOTA.||||||||||||||
Austin|111|110|-77|47|14|11|1|2|2|31|2|1||
Duluth|931|924|488|194|167|92|5|9|21|429|7|5||2
Faribault|207|206|143|59|50|15|1|4|14|60|3|||1
Hibbing|132|132|80|28|32|17||2|1|49|3|||
Mankato|198|198|119|49|29|11|8|6|16|77|2|||
Minneapolis|4,289|4,225|2,735|1,248|851|388|24|121|103|1,456|34|60||4
Rochester|817|811|566|228|146|69|19|29|75|232|13|6||
St. Cloud|192|192|137|71|37|25||2|2|52|3|||
St. Paul|2,555|2,495|1,493|638|523|208|23|51|50|987|15|56||4
Virginia|116|116|59|16|30|10||3||49|8|||
Winona|245|245|170|87|.51|21|1|4|6|74|1|||
MISSISSIPPI.||||||||||||||
Biloxi|157|126|116|75|18|11|3|5|4|7|3|31||
Columbus|137|53|51|32|1|1||13|4|1|1|84||
Greenville|295|69|63|34|10|2|2|4|11|5|1|225||1
Hattiesburg|139|74|72|59|1|3||5|4|1|1|65||
Jackson|856|290|266|167|9|8||16|66|7|17|566||
Laurel|217|125|121|89|3|4||11|14|2|2|92||
Meridian|450|229|221|170|3|4|1|24|19|3|5|221||
Natchez|199|64|59|44|3|2||3|7|5||135||
Vicksburg|541|148|115|71|10|5|2|12|15|11|22|393||
MISSOURI.||||||||||||||
Cape Girardeau|186|168|151|97|22|5|2|9|16|11|6|18||
Carthage|142|136|125|79|6|4|1|9|26|10|1|6||
Columbia|172|128|122|96|5|5|2|12|2|3|3|44||
Hannibal|220|194|174|112|12|7|2|16|25|16|4|26||
Independence|203|185|168|112|16|5|1|13|21|17||18||
Jefferson City|174|145|115|70|15|5|2|6|17|20|10|29||
Joplin|415|405|378|248|11|12|7|42|58|21|6|10||
Kansas City|4,654|3,891|3,179|1,799|332|179|55|338|476|546|166|758||5
Moberly|207|193|181|143|9|4|1|11|13|11|1|14||
St. .Joseph|1,253|1,188|965|581|86|47|17|79|155|-144|79|65||
St. Louis|9,607|8,306|5,896|2,789|1,616|522|151|289|529|,298|112|1,289|1|11
Sedalia|300|268|248|178|14|13|5|19|19|19|1|32||
Springfield|593|556|508|349|12|16|4|59|68|30|18|37||

||||||WHITE.||||||||
||||||Native.||||||||
REGISTRATION AREA.|All deaths.|||||One foreign the|parent born, other-|Parentage unknown.|||Nativ-|Negro.|Japa- nese.|Other col-
||Total.|Total.|Both parents native.|Both parents foreign born.|Native.|Un- known.|One parent un- known, the other native.|Both parents un- known.|Foreign born.|ity un- known.|||ored.
REGISTRATION CITIES-Continued. MONTANA.||||||||||||||
Anaconda|118|114|66|20|26|10||4|6|47|1|4||
Billings|198|194|152|73|34|18|1|10|16|40|2|3||1
Butte.|468|460|272|95|99|30|6|15|27|178|10|2||6
Great Falls|263|254|167|68|32|21|5|16|25|83|4|8||1
Helena|167|161|100|41|22|10||8|19|52|9|2||4
Missoula|212|200|148|84|22|15|3|5|19|49|3|3|1|8
NEBRASKA.||||||||||||||
Grand Island|231|228|175|93|27|18|8|8|21|48|5|3||
Hastings|167|164|126|76|29|9|1|4|7|38||3||
Lincoln|714|697|555|307|96|44|6|39|63|132|10|17||
North Platte|104|101|82|54|6|5|1|5|11|16|3|1|2|
Omaha|2,599|2,427|1,766|843|402|162|33|114|212|610|51|167||5
NEW HAMPSHIRE.||||||||||||||
Berlin|173|173|117|31|55|21||2|8|55|1|||
Concord *|424|422|325|189|31|31|4|19|51|83|14|2||
Dover|181|181|130|82|22|8|2|5|11|49|2|||
Keene|157|157|119|77|11|11||8|12|30|8|||
Laconia|172|172|140|82|13|11|4|8|22|23|9|||
Manchester|950|950|612|208|206|94|6|26|72|327|11|||
Nashua|405|405|288|144|74|36|1|5|28|113|4|||
Portsmouth|186|184|149|90|25|15||5|14|32|3|2||
NEW JERSEY.||||||||||||||
Asbury Park|158|112|86|59|16|3||5|3|23|3|44||2
Atlantic City|981|772|612|387|131|65|7|13|9|155|5|208||1
Bayonne|790|782|533|150|313|54|6|3|7|249||8||
Belleville *|327|288|192|86|75|22|2|4|3|96||39||
Bloomfield|160|158|111|67|29|5|3|3|4|46|1|2||
Bridgeton|247|231|213|167|20|7||15|4|17|1|16||
Camden|1,535|1,355|1,079|641|239|97|12|48|42|266|10|180||
Clifton|195|195|110|36|58|10|1|2|3|84|1|||
East Orange|378|357|278|182|54|27|5|4|6|79||20||1
Elizabeth|1,008|970|632|249|270|68|8|12|25|334|4|38||
Englewood|197|184|126|67|31|17||7|4|58||13||
Garfield|143|143|89|5|78|4|2|||54||||
Gloucester|146|146|119|74|25|11|2|2|5|26|1|||
Hackensack|305|286|191|88|68|25||8|2|93|2|19||
Harrison|122|121|70|23|37|8||2||50|1|1||
Hoboken|865|862|479|167|235|51|9|7|10|374|9|3||
Irvington|229|227|129|55|56|16|||2|96|2|2||
Jersey City|3, ,601|3,451|2,297|868|1,015|255|33|46|80|1,130|24|150||
Kearny|266|264|179|63|48|20|2|4|42|82|3|2||
Long Branch|358|312|239|142|57|26|3|5|6|69|4|46||
Millville|181|178|156|129|13|5||8|1|22||3||
Montclair|212|182|139|87|28|14|2|4|4|43||30||
Morristown *|301|280|216|127|51|23|1|10|4|61|3|21||
New Brunswick|485|459|312|156|105|28|3|14|6|143|4|26||
Newark|4,638|238|2,617|1,073|1,118|264|29|44|89|1,593|28|394||6
Orange|528|450|308|160|101|32|2|5|8|140|2|78||
Passaic|695|680|419|127|230|45|5|5|7|254|7|15||
Paterson|1,746|705|978|411|372|119|21|24|31|715|12|41||
Perth Amboy|501|492|298|83|176|33|2|3|1|188|6|9||
Phillipsburg|186|186|153|106|36|6|1|4||32|1|||
Plainfield|374|334|248|155|62|26||4|1|85|1|40||
Rahway|161|154|115|77|26|8||1|3|39||7||
Roosevelt|56|56|36|3|31|1|||1|20||||
Summit|146|139|100|66|18|12|1|1|2|37|2|7||
Trenton|,610|98|1,077|611|313|90|8|29|26|415|6|112||
Union|155|155|87|32|40|11|2||2|68||||
West Hoboken|270|270|127|40|60|18|1|4|4|142|1|||
West New York|197|197|127|54|55|13||2|3|70||||
West Orange|97|97|59|27|22|8||1|1|38||||

||||||WHITE.||||||||
||||||Native.||||||||
REGISTRATION AREA.|All deaths.|||||One parent foreign the|born, other-|Parentage unknown.||Foreign|Nativ-|Negro.|Japa- nese.|Other col- ored.
||Total.|Total.|Both parents native.|Both parents foreign born.|Native.|Un- known.|One parent un- known, the other native.|Both parents un- known.|born.|ity un- known.|||
REGISTRATION CITIES-Continued NEW YORK.||||||||||||||
Albany|1,742|1,722|1,246|591|402|123|26|39|65|458|18|20||
Amsterdam|416|412|278|126|108|21|3|9|11|131|3|4||
Auburn|495|486|380|198|117|34|4|13|14|104|2|9||
Batavia|242|239|185|95|59|18|3|6|4|51|3|3||
Beacon*|170|164|119|66|28|11|2|5|7|45||6||
Binghamton|1,047|1,030|834|523|151|55|10|46|49|187|9|17||
Buffalo|6,536|6,422|4,375|1,703|1,786|620|56|123|87|2,014|33|108||6
Cohoes|290|290|208|71|93|36|2|1|5|80|2|||
Corning|177|176|139|84|24|4|2|16|9|36|1|1||
Cortland|202|201|171|105|15|10|2|5|34|27|3|1||
Dunkirk|222|219|145|67|52|17|2|4|3|74||2||1
Elmira|623|609|481|289|81|32|4|34|41|125|3|14||
Fulton|180|180|140|77|33|7|2|3|18|37|3|||
Geneva|190|185|150|70|47|15||3|15|35||5||
Glens Falls|266|266|213|148|36|16|2|7|4|52|1|||
Gloversville|344|342|292|145|50|27|2|38|30|49|1|2||
Herkimer|127|127|109|51|39|12||5|2|18||||
Hornell|226|225|201|134|30|12||15|10|22|2|1||
Hudson|191|186|147|83|32|7|2|12|11|39||5||
Ilion|114|114|89|46|16|'6|1|8|12|25||||
Ithaca|269|260|221|154|32|12||12|11|38|1|9||
Jamestown|479|475|312|167|86|33|1|11|14|161|2|4||
Johnstown|139|138|118|74|22|5|1|5|11|20||1||
Kingston|465|451|360|239|74|30|1|11|5|88|3|14||
Lackawanna*|350|347|294|127|100|32|5|27|3|52|1|3||
||||||||||||||
Little Falls|145|145|110|56|28|10|2|5|9|35||||
Lockport|288|287|212|118|51|27|3|3|10|72|3|1||
Middletown*|408|400|323|223|54|20|3|4|19|75|2|8||
Mount Vernon|406|387|259|112|101|34|1|5|6|125|3|19||
New Rochelle|301|282|193|90|65|25|2|2|9|89||19||
New York|64,603|61,575|34,375|12,384|17,170|4,042|133|203|443|26,874|326|851|31|146
Bronx Borough|6,975|6,875|3,630|1,171|1,955|457|6|23|18|3,234|11|99||1
Brooklyn Borough|22,184|21,547|12,525|4,722|6,066|1,526|40|60|111|8,964|58|614|5|18
Manhattan Borough|28,885|26,756|14,256|4,794|7,448|1,561|72|102|279|12,275|225|1,981|23|125
Queens Borough|5,032|4,925|3,067|1,283|1,354|390|13|12|15|1,843|15|105|1|1
Richmond Borough|1,527|1,472|897|414|347|108|2|6|20|558|17|52|2|1
Newburgh|431|422|321|192|74|26|7|16|6|101||9||
Niagara Falls|622|611|388|129|187|55|4|7|6|219|4|10||1
North Tonawanda|181|181|126|45|50|28|1|1|1|51|4|||
Ogdensburg*|457|454|320|163|54|52|6|10|35|128|6|3||
Olean|294|294|236|147|44|10|4|13|18|57|1|||
Oneida|149|147|115|72|22|8||2|11|27|5|||2
Oneonta|199|198|182|127|11|17|2|10|15|16||1||
Ossining|155|151|121|61|27|15|1|4|13|30||4||
Oswego|330|328|234|101|65|34|13|9|12|93|1|2||
Peekskill|187|183|151|90|30|7|4|9|11|27|5|4||
||||||||||||||
Plattsburg|196|195|160|93|35|12|3|3|14|33|2|1||
Port Chester|190|183|116|51|39|18|2|2|4|63|4|6|1|
Port Jervis|212|209|179|128|29|12|1|4|5|28|2|3||
Poughkeepsie|426|410|337|208|61|29|4|14|21|70|3|16||
Rensselaer|114|113|89|47|22|6|1|6|7|24||1||
||||||||||||||
Rochester|3,663|3,634|2,521|1,052|969|316|29|63|92|1,087|26|27||2
Rome*|515|505|394|187|114|52|5|20|16|104|7|10||
Saratoga Springs|270|258|203|120|36|15|3|13|16|52|3|12||
Schenectady|884|881|635|321|197|48|8|24|37|242|4|3||
Syracuse.|2,139|2,114|1,637|860|467|151|24|81|54|470|7|25||
Tonawanda|76|76|51|21|20|9|1|||24|1|||
Troy|1,161|1,147|825|406|254|104|8|24|29|312|10|14||
Utica*|1,417|1,409|1,049|440|421|96|12|24|56|349|11|8||
Watertown|482|480|380|226|72|49|3|15|15|99|1|2||
Watervliet|179|179|128|48|61|10|1|3|5|50|1|||
White Plains|239|226|162|83|38|22|3|5|11|62|2|13||
Yonkers|960|936|618|222|279|82|6|15|14|309|9|24||

||||||WHITE.||||||||
||||||Native.||||||||
REGISTRATION AREA.|All deaths.|||||One foreign the|parent born, other-||Parentage unknown.|Foreign|Nativ-|Negro.|Japa- nese.|Other col- ored.
||Total.|Total.|Both parents native.|Both parents foreign born.|Native.|Un- known.|One parent un- known, the other native.|Both parents un- known.|born.|ity un- known.|||
REGISTRATION CITIES-Continued.||||||||||||||
NORTH CAROLINA.||||||||||||||
Asheville*|609|461|432|343|9|17|1|34|28|20|9|148||
Charlotte|697|396|381|308|6|3|2|29|33|10|5|301||
Durham|335|146|145|116||||18|11|1||189||
Gastonia|200|150|149|135||||6|8||1|50||
Goldsboro|200|68|66|55||||7|4|2||132||
||||||||||||||
Greensboro|285|169|161|137|1||2|14|7|3|5|116||
High Point|183|133|131|124||||6|1|2||50||
New Bern|234|79|74|61|2|3||5|3|3|2|155||
Raleigh*|547|319|305|217|2|1||16|69|3|11|228||
Rocky Mount|237|129|127|109|1|||9|8|1|1|108||
Salisbury|186|118|114|90||||17|7|2|2|68||
Wilmington|604|311|283|222|7|7|3|24|20|20|8|293||
Wilson|217|105|102|86||1||10|5|1|2|112||
Winston-Salem|626|278|276|241|1|2||18|14||2|348||
NORTH DAKOTA.4||||||||||||||
Fargo|303|301|206|97|46|30|2|15|16|89|6|2||
OHIO.||||||||||||||
Akron|1,564|1,495|1,151|678|260|70|18|54|71|322|22|67||2
Alliance|283|270|228|151|28|24|1|15|9|40|2|12||1
Ashtabula|255|252|193|120|38|12|3|10|10|56|3|3||
Barberton|176|165|121|69|33|8||5|6|42|2|11||
Bellaire|184|179|153|93|30|17|2|8|3|24|2|4||1
Bucyrus|114|112|100|70|17|6||4|3|12||2||
Cambridge|166|160|148|131|8|2|1|6||12||6||
Canton|975|954|776|462|163|60|16|35|40|173|5|21||
Chillicothe|205|193|181|126|21|5|2|11|16|11|1|12||
Cincinnati|5,700|4,954|3,687|1,879|1,097|333|52|141|185|1,204|63|745||1
Cleveland|8,697|8,019|4,930|1,670|2,256|534|75|135|260|2,997|92|669|1|8
Cleveland Heights|110|108|72|38|19|10||3|2|33|3|2||
Columbus|3,176|2,796|2,402|1,523|324|152|36|133|234|302|92|378||2
Coshocton|161|159|143|101|15|9||7|11|14|2|2||
Cuyahoga Falls|85|85|69|41|12|8||2|6|14|2|||
Dayton|1,734|1,584|1,318|795|230|83|18|77|115|247|19|149||1
East Cleveland|213|213|155|92|29|19|4|2|9|58||||
East Liverpool|328|324|280|213|22|17|3|13|12|39|5|4||
East Youngstown|128|115|95|5|84|6||||20||13||
Elyria|233|221|168|81|42|17|5|11|12|48|5|12||
||||||||||||||
Findlay|211|206|186|145|13|8|1|13|6|20||5||
Fremont|126|122|95|49|20|7|1|8|10|27||4||
Hamilton|487|462|397|241|80|37|4|18|17|63|2|25||
Ironton|204|193|181|139|4|8||12|18|11|1|11||
Kenmore|95|94|73|44|15|7||3|4|20|1|1||
Lakewood|379|379|280|148|78|30|5|5|14|99||||
Lancaster|190|190|181|135|21|14||3|8|9||||
Lima|472|453|417|307|33|26|4|22|25|34|2|18||1
Lorain|372|352|244|104|90|29|5|8|8|108||20||
Mansfield|323|312|257|165|42|14|2|17|17|51|4|11||
Marietta|228|222|204|118|28|6|3|17|32|17|1|6||
Marion|338|331|303|226|20|18|2|20|17|27|1|7||
Martins Ferry|177|166|122|66|27|9|2|6|12|40|4|11||
Massillon|195|189|147|79|29|14|5|7|13|41|1|6||
Middletown|251|225|205|161|18|6|3|8|9|20||26||
New Philadelphia|114|112|103|69|14|9|4|2|5|9||2||
Newark|371|366|332|231|40|12|3|24|22|30|4|5||
Niles|141|140|100|46|39|9|1|3|2|40||||1
Norwood|177|175|136|79|35|14|4|2|2|39||2||
Piqua|174|161|144|99|18|9||9|9|16|1|13||
